step,reward
1,-0.025000005960464478
2,0.35624998807907104
3,0.15625
4,0.3499999940395355
5,-0.09375
6,0.25
7,-0.1875
8,0.08749999850988388
9,0.6312500238418579
10,0.15625
11,0.02499999850988388
12,0.16875000298023224
13,0.5249999761581421
14,-0.04374999925494194
15,0.4375
16,0.3187499940395355
17,0.15625
18,0.7999999523162842
19,0.21250000596046448
20,0.20625001192092896
21,0.09999999403953552
22,0.3187500238418579
23,0.20000001788139343
24,0.3499999940395355
25,0.08124999701976776
26,0.20625001192092896
27,0.21875
28,0.125
29,0.02499999850988388
30,0.3187499940395355
31,0.19375000894069672
32,-0.006250001490116119
